"complications.hospitals","MORT_30_STK","MORT_30_STK_Standard.Error","COMP_HIP_KNEE","COMP_HIP_KNEE_Standard.Error","MORT_30_CABG","MORT_30_CABG_Standard.Error","PSI_10_POST_KIDNEY","PSI_10_POST_KIDNEY_Standard.Error","PSI_12_POSTOP_PULMEMB_DVT","PSI_12_POSTOP_PULMEMB_DVT_Standard.Error","PSI_14_POSTOP_DEHIS","PSI_14_POSTOP_DEHIS_Standard.Error","PSI_4_SURG_COMP","PSI_4_SURG_COMP_Standard.Error","PSI_6_IAT_PTX","PSI_6_IAT_PTX_Standard.Error","PSI_90_SAFETY","PSI_90_SAFETY_Standard.Error"
40074,NA,NA,NA,NA,NA,NA,NA,NA,"4.27",1.83163265306122,NA,NA,NA,NA,"0.45",0.153061224489796,"1.09",0.204081632653061
40076,"13.7",2.39795918367347,NA,NA,NA,NA,NA,NA,"4.27",1.8265306122449,NA,NA,NA,NA,"0.38",0.158163265306122,"0.98",0.204081632653061
40078,"14.1",1.98979591836735,"3.2",0.918367346938775,"2.9",1.83673469387755,"1.12",0.448979591836735,"5.66",1.45918367346939,"2.18",1.15816326530612,"156.19",21.4642857142857,"0.67",0.142857142857143,"1.11",0.147959183673469
40084,"17.4",2.29591836734694,"2.1",0.714285714285714,NA,NA,"1.10",0.489795918367347,"3.15",1.56632653061224,"2.20",1.16836734693878,NA,NA,"0.35",0.147959183673469,"0.82",0.183673469387755
40085,"13.8",2.44897959183674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.39",0.153061224489796,"1.05",0.209183673469388
40088,"16.1",2.39795918367347,"3.4",1.12244897959184,"4.3",2.29591836734694,"1.24",0.474489795918367,"4.74",1.54591836734694,"2.18",1.15816326530612,"150.41",22.5408163265306,"0.36",0.147959183673469,"1.05",0.168367346938775
40114,"14.9",1.22448979591837,"3.3",0.663265306122449,"5.3",1.78571428571429,"0.82",0.377551020408163,"3.26",0.923469387755102,"2.15",1.02040816326531,"126.84",15.9438775510204,"0.40",0.11734693877551,"1.22",0.0918367346938775
40118,"15.7",1.78571428571429,"4.0",0.76530612244898,"3.1",1.78571428571429,"1.00",0.464285714285714,"3.11",1.33163265306122,"2.09",1.13265306122449,"136.44",22.6071428571429,"0.31",0.137755102040816,"0.74",0.153061224489796
40119,"15.7",2.14285714285714,"2.5",0.816326530612245,NA,NA,"1.15",0.454081632653061,"2.35",1.35204081632653,"2.06",1.13265306122449,"153.11",19.4591836734694,"0.41",0.137755102040816,"0.96",0.13265306122449
40134,"12.9",2.29591836734694,NA,NA,"4.2",0.969387755102041,"0.80",0.413265306122449,"3.11",1.33673469387755,"2.16",1.15816326530612,"140.32",22.0204081632653,"0.42",0.13265306122449,"0.82",0.163265306122449
40137,"15.7",2.95918367346939,NA,NA,NA,NA,"1.11",0.489795918367347,"4.01",1.76530612244898,NA,NA,NA,NA,"0.39",0.153061224489796,"0.91",0.198979591836735
40147,NA,NA,"1.8",0.306122448979592,NA,NA,"1.07",0.474489795918367,"2.93",1.29591836734694,NA,NA,NA,NA,"0.38",0.153061224489796,"0.66",0.153061224489796
40152,NA,NA,"3.2",0.86734693877551,NA,NA,"1.10",0.48469387755102,"6.08",1.66326530612245,NA,NA,NA,NA,"0.39",0.158163265306122,"0.94",0.183673469387755
40153,"14.0",2.04081632653061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.39",0.153061224489796,"0.99",0.209183673469388
41302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41310,"14.5",2.70408163265306,"2.6",0.918367346938776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41312,"13.6",2.44897959183673,"2.6",0.86734693877551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41313,NA,NA,"2.4",0.918367346938776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41321,"14.1",2.6530612244898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41322,"16.5",2.55102040816327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41323,"15.3",2.39795918367347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41326,"13.3",2.44897959183674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41328,"14.6",2.6530612244898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50002,"14.4",2.55102040816326,"3.1",1.07142857142857,NA,NA,"1.11",0.489795918367347,"3.39",1.62244897959184,"2.20",1.16326530612245,NA,NA,"0.35",0.147959183673469,"1.00",0.188775510204082
50006,"13.9",2.19387755102041,"3.3",1.02040816326531,NA,NA,"1.17",0.459183673469388,"4.91",1.35204081632653,"2.07",1.12755102040816,"131.54",21.2908163265306,"0.33",0.142857142857143,"0.98",0.147959183673469
50007,"12.7",1.47959183673469,"3.0",0.76530612244898,"3.2",1.83673469387755,"0.92",0.443877551020408,"2.52",1.29591836734694,"2.63",1.12755102040816,"146.55",20.6224489795918,"0.43",0.142857142857143,"0.92",0.13265306122449
50008,"14.8",1.63265306122449,NA,NA,NA,NA,"1.10",0.48469387755102,"4.57",1.61734693877551,NA,NA,NA,NA,"0.37",0.153061224489796,"0.91",0.178571428571429
50009,"15.3",1.83673469387755,"2.5",0.714285714285714,"3.1",1.68367346938776,"1.05",0.474489795918367,"3.50",1.41836734693878,"2.72",1.14795918367347,"136.60",22.9285714285714,"0.44",0.142857142857143,"0.88",0.163265306122449
50013,"14.4",2.24489795918367,"1.8",0.357142857142857,"3.0",1.1734693877551,"1.07",0.433673469387755,"3.47",1.25510204081633,"3.34",1.1530612244898,"126.81",21.4234693877551,"0.51",0.147959183673469,"0.92",0.153061224489796
50014,"16.0",2.14285714285714,"2.8",0.969387755102041,NA,NA,"1.11",0.48469387755102,"6.11",1.66326530612245,"2.16",1.15816326530612,NA,NA,"0.49",0.147959183673469,"1.13",0.188775510204082
50017,"13.4",1.88775510204082,"4.2",1.1734693877551,"2.2",0.969387755102041,"1.23",0.408163265306122,"5.66",1.18367346938776,"2.12",1.14285714285714,"134.44",19.734693877551,"0.56",0.127551020408163,"1.23",0.13265306122449
50018,"12.7",1.83673469387755,NA,NA,NA,NA,"1.12",0.48469387755102,"3.91",1.74489795918367,NA,NA,NA,NA,"0.37",0.153061224489796,"0.94",0.193877551020408
50022,"13.1",1.68367346938775,"3.1",1.02040816326531,"2.8",1.42857142857143,"1.43",0.469387755102041,"3.24",1.36224489795918,"2.07",1.13265306122449,"117.64",21.6326530612245,"0.36",0.137755102040816,"0.95",0.158163265306122
50024,"12.6",2.04081632653061,"2.7",1.02040816326531,NA,NA,"1.11",0.489795918367347,"4.38",1.69897959183673,NA,NA,NA,NA,"0.34",0.142857142857143,"0.93",0.193877551020408
50025,"13.9",1.68367346938775,"2.2",0.561224489795918,"2.8",1.12244897959184,"0.71",0.387755102040816,"5.20",0.994897959183674,"1.91",1.09183673469388,"121.31",17.4132653061224,"0.68",0.127551020408163,"1.23",0.107142857142857
50026,"13.1",1.37755102040816,"1.9",0.561224489795918,"3.7",1.27551020408163,"0.97",0.454081632653061,"3.84",1.1530612244898,"2.00",1.10714285714286,"142.25",19.7602040816326,"0.46",0.127551020408163,"0.93",0.13265306122449
50028,"14.4",2.44897959183673,NA,NA,NA,NA,"1.11",0.489795918367347,"3.87",1.73979591836735,"2.81",1.16326530612245,NA,NA,"0.39",0.153061224489796,"1.01",0.198979591836735
50030,"10.8",1.63265306122449,"3.5",0.816326530612245,NA,NA,"1.06",0.479591836734694,"3.79",1.31122448979592,"2.12",1.14285714285714,"126.86",23.484693877551,"0.34",0.122448979591837,"1.09",0.142857142857143
50036,"17.2",2.19387755102041,"2.7",0.86734693877551,"3.1",1.58163265306122,"1.03",0.469387755102041,"3.07",1.42857142857143,"2.72",1.14795918367347,"138.45",21.6530612244898,"0.37",0.142857142857143,"1.50",0.163265306122449
50038,"17.2",2.70408163265306,NA,NA,NA,NA,"1.07",0.479591836734694,"3.21",1.58163265306122,"2.17",1.15816326530612,"137.55",23.5459183673469,"0.35",0.147959183673469,"0.88",0.173469387755102
50039,"15.9",1.47959183673469,"3.1",0.663265306122449,"3.2",0.918367346938775,"1.13",0.454081632653061,"3.34",1.11734693877551,"3.03",1.10204081632653,"131.36",18.8112244897959,"0.47",0.13265306122449,"0.88",0.13265306122449
50040,NA,NA,NA,NA,NA,NA,"1.11",0.489795918367347,"4.11",1.79081632653061,NA,NA,NA,NA,"0.38",0.153061224489796,"0.94",0.198979591836735
