"providers","HAI_1_CI_LOWER","HAI_1_CI_UPPER","HAI_3_CI_LOWER","HAI_3_CI_UPPER","HAI_5_CI_LOWER","HAI_5_CI_UPPER"
210016,"0.080","1.579",NA,"1.402","0.016","1.614"
210017,NA,NA,NA,NA,NA,NA
210018,"0.021","2.076",NA,NA,"0.637","6.815"
210019,"0.988","3.101","0.013","1.247","0.241","1.833"
210022,"0.340","1.746","0.146","2.883","0.652","3.346"
210023,"0.411","1.359","0.668","2.208","0.183","1.393"
210024,"0.066","1.304",NA,"1.674","1.281","5.238"
210027,"0.382","2.308","0.185","3.649","0.381","4.080"
210028,"0.033","3.245","0.019","1.870",NA,"2.635"
210029,"0.049","0.526","0.431","2.605","1.228","3.199"
210030,NA,NA,NA,NA,NA,NA
210032,"0.581","6.218",NA,"1.231",NA,NA
210033,NA,"1.203","0.112","2.210","0.028","2.763"
210034,"0.027","2.679",NA,"2.892","0.153","3.006"
210035,"0.242","2.590",NA,"2.287","0.042","4.134"
210037,"0.023","2.247","0.676","4.091","0.024","2.343"
210038,"0.212","2.269",NA,NA,"1.747","8.965"
210039,NA,"2.539",NA,NA,NA,NA
210040,NA,"0.899","0.196","3.866","0.117","2.298"
210043,"0.223","1.697","0.496","2.029","0.557","3.372"
210044,"0.625","2.557","0.851","4.365","0.020","1.938"
210045,NA,NA,NA,NA,NA,NA
210048,"0.225","1.711","0.076","1.494","0.013","1.311"
210049,"0.013","1.308","0.326","3.486","0.540","4.099"
210051,"0.007","0.648",NA,"1.084","0.015","1.481"
210055,"1.234","9.367",NA,NA,"0.582","6.228"
210056,"0.726","3.282","0.512","3.884","0.405","3.072"
210057,"0.159","1.698","0.014","1.412","0.200","2.136"
210060,NA,NA,NA,NA,NA,NA
210061,NA,"2.748","0.179","3.534",NA,NA
210062,"0.991","2.970","0.035","3.495","1.128","5.100"
210063,NA,"0.683","0.582","2.988","0.089","1.752"
210064,NA,NA,NA,NA,NA,NA
210065,NA,NA,"0.304","5.985",NA,NA
220001,NA,"1.441","0.022","2.186","0.033","3.230"
220002,"0.329","2.501","0.034","3.321","0.127","2.512"
220008,"0.216","4.258","0.033","3.281","0.043","4.223"
220010,"0.011","1.088","0.034","3.385","0.024","2.332"
220011,"0.151","2.975","0.246","4.851",NA,"1.063"
220012,"0.067","1.319","0.064","1.267","0.016","1.556"
220015,"0.040","3.936","0.162","3.189",NA,NA
220016,NA,NA,"0.315","6.216",NA,NA
220017,"0.032","3.194",NA,NA,NA,NA
220019,NA,NA,NA,NA,NA,NA
220020,NA,"1.047",NA,"2.454","0.032","3.133"
220024,NA,"2.741",NA,"1.841",NA,NA
220029,NA,NA,NA,"2.393",NA,NA
220030,NA,NA,NA,NA,NA,NA
220031,"0.373","1.034","0.117","1.252","0.187","1.134"
220033,"0.116","2.292","0.869","4.460","0.015","1.505"
220035,"0.128","0.968","0.397","3.016","0.011","1.046"
220036,"0.202","1.222","0.144","2.829","0.445","2.693"
220046,"0.010","0.958","0.152","2.986","0.922","4.729"
220049,NA,NA,NA,NA,NA,NA
220052,NA,"1.072","0.951","5.754","0.020","1.964"
220058,NA,NA,NA,NA,NA,NA
220060,"0.110","2.173","0.019","1.837",NA,"1.943"
220062,NA,NA,NA,NA,NA,NA
220063,"0.330","1.994","0.010","1.002","0.239","2.556"
220065,NA,NA,NA,NA,NA,NA
220066,"0.953","7.233","0.533","3.225","0.192","3.791"
220070,NA,"1.692","0.019","1.849",NA,"2.055"
220071,"0.633","1.092","0.852","1.904","0.529","1.279"
220073,NA,"2.612",NA,"1.639",NA,NA
220074,"0.378","1.251","0.266","1.612","0.195","1.482"
220075,NA,NA,NA,NA,NA,NA
220077,"0.320","0.920","1.361","2.992","0.153","0.784"
220080,NA,"1.047",NA,"1.094","0.023","2.315"
220083,NA,NA,NA,NA,NA,NA
220084,NA,"1.614",NA,"2.943","0.046","4.529"
220086,"0.337","0.832","0.574","1.593","0.345","1.210"
220088,NA,NA,NA,NA,NA,NA
220090,"0.022","2.162","0.030","2.964","0.028","2.722"
220095,NA,NA,NA,NA,NA,NA
220098,NA,NA,NA,NA,NA,NA
220100,"0.062","0.660","0.455","2.335",NA,"0.568"
220101,"0.402","3.053",NA,NA,NA,"1.353"
220105,NA,"1.850",NA,"1.455",NA,"1.473"
220108,NA,NA,"0.184","3.625",NA,NA
220110,"0.628","1.198","0.625","1.478","0.272","0.900"
220111,"0.637","3.270","0.013","1.241","1.907","7.175"
220116,"0.487","1.234","0.430","2.602","0.006","0.621"
220119,"0.019","1.841",NA,NA,NA,"2.480"
220126,"0.027","2.643","0.147","2.888","0.036","3.592"
220135,"0.513","3.897",NA,"2.195",NA,"2.376"
220163,"0.139","0.487","0.117","1.251","0.221","0.902"
220171,"0.193","0.871","0.129","0.983","0.043","0.850"
220175,"0.212","4.185","0.048","4.779","0.739","5.610"
220176,NA,"0.360",NA,"1.058","0.277","2.105"
220177,NA,NA,NA,NA,NA,NA
221302,NA,NA,NA,NA,NA,NA
221303,NA,NA,NA,NA,NA,NA
230002,"0.285","1.723","0.015","1.435","0.897","4.605"
230003,NA,NA,NA,NA,NA,NA
230005,NA,"2.612",NA,"2.978",NA,NA
230013,NA,NA,NA,NA,NA,NA
230015,NA,NA,NA,NA,NA,NA
230017,"0.435","1.304","0.005","0.514","0.313","1.893"
230019,"1.022","2.367","0.184","1.111","0.375","1.411"
230020,"0.978","2.116","0.761","2.515","0.788","2.055"
230021,"0.183","1.958","0.208","2.228","0.017","1.719"
230022,NA,NA,NA,NA,NA,NA
230024,"0.187","1.129","0.741","3.804","1.162","3.482"
230029,"0.100","1.065","0.167","1.789","0.183","1.388"
230030,NA,NA,NA,NA,NA,NA
230031,NA,NA,NA,"2.266",NA,NA
230035,NA,NA,NA,NA,NA,NA
230036,NA,NA,"0.742","7.942",NA,NA
230037,NA,NA,NA,NA,NA,NA
230038,"0.399","0.926","0.637","1.475","0.351","1.160"
230040,NA,NA,NA,NA,NA,NA
230041,"0.411","2.109","0.838","4.302","1.069","4.022"
230046,"0.514","0.901","0.433","1.162","0.513","1.239"
230047,"0.334","1.511","0.966","3.635","0.427","2.585"
230053,"0.493","0.988","0.150","0.906","0.874","1.891"
230054,"0.052","1.031","0.561","2.880","0.143","2.818"
230055,NA,NA,NA,NA,NA,NA
230058,NA,NA,NA,NA,NA,NA
230059,"0.594","2.429","0.351","2.125","0.412","3.130"
230066,"0.743","3.811",NA,"0.578","0.101","1.999"
230069,NA,NA,NA,NA,NA,NA
230070,"0.185","0.695","0.266","2.016","0.106","0.802"
230071,NA,NA,NA,NA,NA,NA
230072,NA,NA,"0.178","3.504",NA,"2.101"
230075,"0.085","1.668","0.347","2.631","0.203","3.997"
230077,"0.005","0.473","0.105","2.068","0.133","2.619"
230078,NA,NA,NA,NA,NA,NA
230080,NA,NA,NA,NA,NA,NA
230081,NA,NA,NA,NA,NA,NA
230085,NA,NA,NA,NA,NA,NA
230089,"0.183","1.957","0.447","3.391","0.284","3.042"
230092,"0.038","0.752","0.243","1.848","0.015","1.444"
230093,NA,NA,NA,NA,NA,NA
230095,NA,NA,NA,NA,NA,NA
230096,NA,NA,NA,NA,NA,NA
230097,"0.340","1.744","0.311","1.597","0.009","0.911"
230099,"0.029","2.869","0.485","5.184","0.044","4.341"
230100,NA,NA,NA,NA,NA,NA
230104,"0.655","1.706","0.283","3.027","1.151","3.610"
230105,"0.011","1.040",NA,"0.827","0.026","2.544"
230108,NA,NA,NA,NA,NA,NA
230110,NA,NA,NA,NA,NA,NA
230117,"0.515","1.701","0.169","1.810","0.177","1.894"
230118,NA,NA,NA,NA,NA,NA
230121,NA,NA,NA,NA,NA,NA
230130,"0.996","1.827","1.087","2.430","0.543","1.236"
230132,"0.342","1.129","1.196","4.500","0.994","3.286"
230133,NA,NA,NA,"1.777",NA,NA
230141,"0.437","1.787","0.793","2.783","0.379","1.947"
230142,NA,"1.324","0.028","2.780","1.082","8.212"
230144,NA,NA,NA,NA,NA,NA
230146,"0.430","2.602","0.595","3.052","0.266","2.848"
230151,"0.266","1.363","0.013","1.324","0.226","2.419"
230156,"0.282","1.152","0.591","1.855","0.376","1.702"
230165,"0.344","1.078","0.579","2.180","0.476","1.672"
230167,NA,"0.720","0.211","2.262","0.125","2.462"
230174,NA,NA,NA,NA,NA,NA
230176,"0.263","2.815","0.423","3.210","0.350","3.742"
230180,NA,NA,NA,NA,NA,NA
230193,NA,NA,"0.282","5.553","0.032","3.114"
230195,"0.279","1.432","0.262","1.988","0.824","2.584"
230197,"0.579","2.032","0.104","1.111","0.219","1.327"
230207,"0.019","1.853",NA,NA,NA,"1.641"
230208,NA,NA,NA,NA,NA,NA
230216,"0.247","2.641","0.243","2.599","0.513","5.487"
230217,NA,NA,NA,NA,NA,NA
230222,"0.010","1.021",NA,"0.657",NA,"1.973"
230227,"0.160","1.707","0.135","2.653","0.218","2.332"
230230,"0.608","1.633","0.565","1.983","0.135","1.023"
230236,"0.017","1.693","0.472","3.580","0.476","5.097"
230239,NA,NA,NA,NA,NA,NA
230241,NA,NA,NA,NA,NA,NA
230244,"0.782","4.014",NA,NA,"1.296","5.860"
230254,"0.432","3.277","0.020","2.006","0.027","2.626"
230259,NA,NA,NA,"2.761",NA,NA
230264,NA,NA,NA,NA,NA,NA
230269,"0.255","1.544","0.585","1.753","0.553","2.081"
230270,"0.230","4.532",NA,NA,"0.040","3.920"
230273,"0.506","1.905","0.238","2.542","2.626","6.086"
230275,NA,NA,NA,NA,NA,NA
230277,NA,"1.056","0.210","4.138","0.030","2.991"
230279,NA,NA,NA,NA,NA,NA
230297,NA,NA,NA,NA,"1.307","5.910"
230301,NA,NA,NA,NA,NA,NA
230302,"0.087","1.714","1.077","4.870",NA,"1.210"
230303,NA,NA,NA,NA,NA,NA
231301,NA,NA,NA,NA,NA,NA
231305,NA,NA,NA,NA,NA,NA
231306,NA,NA,NA,NA,NA,NA
231309,NA,NA,NA,NA,NA,NA
231310,NA,NA,NA,NA,NA,NA
231311,NA,NA,NA,NA,NA,NA
231313,NA,NA,NA,NA,NA,NA
231314,NA,NA,NA,NA,NA,NA
231315,NA,NA,NA,NA,NA,NA
231316,NA,NA,NA,NA,NA,NA
231317,NA,NA,NA,NA,NA,NA
231318,NA,NA,NA,NA,NA,NA
231319,NA,NA,NA,NA,NA,NA
231321,NA,NA,NA,NA,NA,NA
231322,NA,NA,NA,NA,NA,NA
231323,NA,NA,NA,NA,NA,NA
231324,NA,NA,NA,NA,NA,NA
231325,NA,NA,NA,NA,NA,NA
231326,NA,NA,NA,NA,NA,NA
231327,NA,NA,NA,NA,NA,NA
231328,NA,NA,NA,NA,NA,NA
231330,NA,NA,NA,NA,NA,NA
231331,NA,NA,NA,NA,NA,NA
231332,NA,NA,NA,NA,NA,NA
231333,NA,NA,NA,NA,NA,NA
231334,NA,NA,NA,NA,NA,NA
231337,NA,NA,NA,NA,NA,NA
231338,NA,NA,NA,NA,NA,NA
240001,"0.237","0.968","0.302","1.826","0.011","1.114"
240002,"0.234","0.958","0.457","2.347","0.130","1.394"
240004,"0.342","1.288","0.674","3.049","0.175","1.330"
240006,NA,NA,NA,NA,NA,NA
240010,"0.651","1.096","0.959","1.702","0.296","0.928"
240014,NA,NA,NA,NA,NA,NA
240018,NA,NA,NA,NA,NA,NA
240019,NA,"2.840",NA,NA,NA,NA
240020,NA,NA,NA,NA,NA,NA
240022,NA,NA,NA,NA,NA,NA
240030,NA,NA,NA,NA,NA,NA
240036,"0.364","1.202","0.588","1.942","0.009","0.888"
240038,"0.423","1.914","0.894","3.138","0.095","1.878"
240040,NA,NA,NA,NA,NA,NA
240043,NA,NA,"0.049","4.845",NA,NA
240044,NA,NA,NA,NA,NA,NA
240047,"0.091","0.969","0.021","2.033","0.020","1.949"
240050,NA,NA,NA,NA,NA,NA
240052,NA,NA,NA,NA,NA,NA
240053,"0.209","1.587","0.340","2.056","0.090","1.771"
240056,NA,NA,NA,"1.580",NA,NA
240057,"0.585","1.414","0.688","2.274","0.005","0.483"
240059,NA,NA,NA,NA,NA,NA
240063,NA,"1.736",NA,"1.663",NA,"1.253"
240064,NA,NA,NA,NA,NA,NA
240066,NA,NA,NA,NA,NA,NA
240069,NA,NA,NA,NA,NA,NA
240071,NA,NA,NA,NA,NA,NA
240075,NA,"2.957",NA,"2.043",NA,NA
240076,NA,NA,NA,NA,NA,NA
240078,"0.882","2.914","0.133","1.424",NA,"1.041"
240080,"1.028","1.730","0.689","2.162","0.403","1.413"
240084,NA,NA,NA,NA,NA,NA
240088,NA,NA,"0.431","4.610",NA,NA
240093,"0.017","1.657","0.110","2.172","0.031","3.061"
240100,NA,NA,NA,"2.301",NA,NA
240101,NA,NA,NA,NA,NA,NA
240104,NA,NA,"0.449","4.803",NA,NA
240106,"0.371","1.301","0.577","2.359","0.194","1.470"
240115,"0.373","2.255","0.312","1.888","0.018","1.794"
240132,"0.030","2.934",NA,NA,NA,NA
240141,NA,NA,NA,NA,NA,NA
240166,NA,NA,NA,NA,NA,NA
240187,NA,NA,NA,NA,NA,NA
240196,NA,NA,NA,NA,NA,NA
240206,NA,NA,NA,NA,NA,NA
240207,"0.633","3.251","0.096","1.885","0.032","3.172"
240210,NA,"0.766","0.304","1.841","0.016","1.528"
240213,NA,NA,NA,NA,NA,NA
240214,NA,NA,"0.632","4.798",NA,"2.594"
241300,NA,NA,NA,NA,NA,NA
241301,NA,NA,NA,NA,NA,NA
241302,NA,NA,NA,NA,NA,NA
241305,NA,NA,NA,NA,NA,NA
241309,NA,NA,NA,NA,NA,NA
241311,NA,NA,NA,NA,NA,NA
241312,NA,NA,NA,NA,NA,NA
241313,NA,NA,NA,NA,NA,NA
241314,NA,NA,NA,NA,NA,NA
241315,NA,NA,NA,NA,NA,NA
241319,NA,NA,NA,NA,NA,NA
241321,NA,NA,NA,NA,NA,NA
241322,NA,NA,NA,NA,NA,NA
241323,NA,NA,NA,NA,NA,NA
241325,NA,NA,NA,NA,NA,NA
241327,NA,NA,NA,NA,NA,NA
241328,NA,NA,NA,NA,NA,NA
241329,NA,NA,NA,NA,NA,NA
241334,NA,NA,NA,NA,NA,NA
241335,NA,NA,NA,NA,NA,NA
241338,NA,NA,NA,NA,NA,NA
241340,NA,NA,NA,NA,NA,NA
241341,NA,NA,NA,NA,NA,NA
241342,NA,NA,NA,NA,NA,NA
241344,NA,NA,NA,NA,NA,NA
241346,NA,NA,NA,NA,NA,NA
241348,NA,NA,NA,NA,NA,NA
241349,NA,NA,NA,NA,NA,NA
241350,NA,NA,NA,NA,NA,NA
241351,NA,NA,NA,NA,NA,NA
241354,NA,NA,NA,NA,NA,NA
241355,NA,NA,NA,NA,NA,NA
241356,NA,NA,NA,NA,NA,NA
241357,NA,NA,NA,NA,NA,NA
241359,NA,NA,NA,NA,NA,NA
241360,NA,NA,NA,NA,NA,NA
241362,NA,NA,NA,NA,NA,NA
241364,NA,NA,NA,NA,NA,NA
241366,NA,NA,NA,NA,NA,NA
241367,NA,NA,NA,NA,NA,NA
241371,NA,NA,NA,NA,NA,NA
241373,NA,NA,NA,NA,NA,NA
241374,NA,NA,NA,NA,NA,NA
241376,NA,NA,NA,NA,NA,NA
241377,NA,NA,NA,NA,NA,NA
241378,NA,NA,NA,NA,NA,NA
241379,NA,NA,NA,NA,NA,NA
241380,NA,NA,NA,NA,NA,NA
241381,NA,NA,NA,NA,NA,NA
250001,"0.541","1.062","1.940","4.588","1.015","2.082"
250002,NA,NA,NA,NA,NA,NA
250004,"0.330","1.037","0.303","1.835","0.594","1.962"
250006,NA,NA,NA,NA,NA,NA
250007,"0.025","2.501",NA,"1.775",NA,"1.886"
250009,"0.031","3.033",NA,"1.494","0.030","3.004"
250012,NA,NA,NA,NA,NA,NA
250017,NA,NA,NA,NA,NA,NA
250019,"0.143","1.084","0.019","1.829","0.011","1.056"
250020,NA,NA,NA,NA,NA,NA
250025,NA,NA,"0.028","2.791",NA,NA
250027,NA,NA,NA,NA,NA,NA
250031,"0.485","1.982",NA,"1.336","1.089","5.586"
250034,"0.386","2.333","0.234","2.508","0.200","3.945"
250036,NA,NA,NA,NA,NA,NA
250038,NA,NA,NA,NA,NA,NA
250040,"1.308","3.920","0.012","1.162","0.195","2.090"
250042,NA,NA,NA,NA,NA,NA
250043,NA,NA,NA,NA,NA,NA
250044,NA,NA,NA,NA,NA,NA
250048,"0.251","1.136","0.007","0.671","0.264","1.356"
250049,NA,NA,NA,NA,NA,NA
250050,NA,NA,NA,NA,NA,NA
250057,NA,NA,NA,NA,NA,NA
250058,"0.012","1.199",NA,"2.621","0.035","3.483"
250060,NA,NA,NA,NA,NA,NA
250061,NA,NA,NA,NA,NA,NA
250067,NA,NA,NA,NA,NA,NA
250069,"2.593","10.601","0.920","4.162",NA,NA
250072,"1.026","3.392",NA,NA,"1.049","4.744"
250077,NA,NA,NA,NA,NA,NA
250078,"0.988","2.335","0.176","1.339","0.442","1.385"
250081,NA,NA,NA,NA,NA,NA
250082,"1.813","6.822",NA,NA,"0.459","4.916"
250084,NA,NA,NA,NA,NA,NA
250085,NA,NA,NA,NA,NA,NA
250093,NA,NA,NA,NA,NA,NA
250094,"0.029","2.839","0.151","2.978","0.648","6.937"
250095,NA,NA,NA,NA,NA,NA
250096,NA,NA,NA,NA,NA,NA
250097,"0.183","3.615","0.034","3.353",NA,"2.661"
250099,"0.195","3.842","0.044","4.372","0.288","5.672"
250100,"0.025","2.459","0.287","3.067","0.035","3.413"
250102,"0.605","1.625","0.643","1.852","0.386","1.982"
250104,"0.104","2.053","0.124","2.440","0.313","3.346"
250117,NA,NA,NA,NA,NA,NA
250123,"0.150","2.950",NA,NA,NA,NA
250124,NA,NA,NA,NA,NA,NA
250126,NA,NA,NA,NA,NA,NA
250127,NA,NA,NA,NA,NA,NA
250128,NA,NA,NA,NA,NA,NA
250134,NA,NA,NA,NA,NA,NA
250136,NA,NA,NA,NA,NA,NA
250138,"0.032","3.176",NA,NA,NA,NA
250141,"0.744","2.333","0.660","3.388","0.408","3.099"
250151,NA,NA,NA,NA,NA,NA
250162,NA,NA,NA,NA,NA,NA
250167,NA,"2.578",NA,NA,NA,NA
250168,NA,NA,NA,NA,NA,NA
251308,NA,NA,NA,NA,NA,NA
251316,NA,NA,NA,NA,NA,NA
251318,NA,NA,NA,NA,NA,NA
251320,NA,NA,NA,NA,NA,NA
251331,NA,NA,NA,NA,NA,NA
251337,NA,NA,NA,NA,NA,NA
260001,"0.116","1.246",NA,"0.908",NA,"0.680"
260004,NA,NA,NA,NA,NA,NA
260005,"0.209","2.235","0.564","4.281","0.020","1.967"
260006,"0.165","1.764","0.264","2.001","0.607","3.675"
260009,NA,NA,NA,"2.158",NA,NA
260011,"1.762","9.043","0.625","4.746","0.037","3.608"
260015,NA,NA,NA,NA,NA,NA
260017,NA,"1.315",NA,"1.811","0.045","4.451"
260020,"0.308","0.828","0.032","0.632","0.026","0.511"
260022,NA,"2.897",NA,NA,NA,NA
260023,"0.097","1.909",NA,"1.913","0.187","3.694"
260024,NA,NA,NA,NA,NA,NA
260025,NA,NA,NA,NA,NA,NA
260027,"0.240","1.086","0.690","3.121","0.354","1.815"
260032,"1.046","1.597","1.162","2.200","0.842","1.621"
260034,NA,NA,NA,NA,NA,NA
260040,"0.180","0.737","0.247","1.267","0.355","1.605"
260047,NA,NA,"0.256","5.040",NA,NA
260048,"0.481","1.809","0.572","3.460","0.466","2.391"
260050,NA,NA,NA,NA,NA,NA
260052,NA,"2.639","0.551","4.182",NA,NA
260057,NA,NA,NA,NA,NA,NA
260059,NA,NA,NA,NA,NA,NA
260061,NA,NA,NA,NA,NA,NA
260062,NA,"2.486",NA,NA,NA,NA
260064,NA,NA,NA,NA,NA,NA
260065,"0.427","1.145","0.464","1.533","0.781","2.452"
260068,"0.549","2.482","0.012","1.203","0.648","2.931"
260070,NA,NA,NA,NA,NA,NA
260074,NA,NA,NA,NA,NA,NA
260077,NA,"0.387","0.464","1.896","0.513","2.322"
260078,NA,NA,"0.332","6.536",NA,NA
260080,NA,NA,NA,NA,NA,NA
260081,"0.403","3.063","0.026","2.601","0.377","4.030"
260085,NA,"1.192",NA,"1.814","0.041","4.000"
260091,"0.485","1.172","0.072","1.426","0.727","2.281"
260094,NA,"1.130",NA,NA,"1.568","8.046"
260095,"0.358","1.839","0.106","2.088","0.282","3.013"
260096,"0.477","1.795","0.473","1.934","0.077","1.513"
260097,NA,NA,NA,NA,NA,NA
260102,NA,NA,NA,NA,NA,NA
260104,"0.426","2.188","0.011","1.097","0.363","2.197"
260105,"0.680","1.887","0.447","2.293","0.417","1.704"
260108,"0.421","1.723","0.594","2.085","0.389","2.352"
260110,"0.681","3.078","0.122","2.408","0.155","3.048"
260113,NA,NA,NA,NA,NA,NA
260119,"0.018","1.822","0.035","3.434",NA,"1.704"
260137,"0.028","0.544","0.166","1.258","0.085","0.913"
260138,"0.320","0.960","0.229","1.738","0.284","1.284"
260141,"0.500","1.236",NA,"0.525","0.945","2.538"
260142,NA,NA,NA,NA,NA,NA
260160,NA,NA,NA,NA,NA,NA
260162,NA,NA,"0.212","1.608",NA,NA
260163,NA,NA,"0.303","5.969",NA,NA
260175,NA,NA,NA,NA,NA,NA
260176,"0.613","6.563",NA,NA,NA,NA
260177,"0.502","3.809","0.536","4.066","0.028","2.783"
260179,"0.045","0.889","0.012","1.194","0.079","1.559"
260180,"0.657","2.472","0.254","2.716","0.528","3.192"
260183,"0.746","2.809",NA,"0.633","0.342","2.594"
260186,"0.108","2.137","0.190","3.740",NA,NA
260190,NA,"1.650",NA,"2.646",NA,NA
260191,"0.596","4.528","0.107","2.107",NA,NA
260193,NA,"2.649",NA,NA,NA,NA
260195,NA,NA,NA,NA,NA,NA
260200,"0.350","3.740","0.015","1.430","0.760","5.771"
260209,NA,NA,NA,NA,NA,NA
260210,NA,NA,NA,NA,"0.048","4.779"
260214,NA,NA,NA,NA,NA,NA
260216,NA,"1.110",NA,"0.804",NA,"1.327"
260219,NA,NA,NA,NA,NA,NA
260227,NA,NA,NA,NA,NA,NA
261308,NA,NA,NA,NA,NA,NA
261309,NA,NA,NA,NA,NA,NA
261310,NA,NA,NA,NA,NA,NA
261316,NA,NA,NA,NA,NA,NA
261317,NA,NA,NA,NA,NA,NA
261319,NA,NA,NA,NA,NA,NA
261320,NA,NA,NA,NA,NA,NA
261321,NA,NA,NA,NA,NA,NA
261323,NA,NA,NA,NA,NA,NA
261325,NA,NA,NA,NA,NA,NA
261329,NA,NA,NA,NA,NA,NA
261330,NA,NA,NA,NA,NA,NA
261332,NA,NA,NA,NA,NA,NA
261333,NA,NA,NA,NA,NA,NA
261334,NA,NA,NA,NA,NA,NA
261335,NA,NA,NA,NA,NA,NA
261337,NA,NA,NA,NA,NA,NA
261338,NA,NA,NA,NA,NA,NA
270003,NA,"2.141",NA,"1.601",NA,NA
270004,"0.008","0.751","0.524","2.144","0.015","1.471"
270012,"0.019","1.846",NA,NA,NA,"1.599"
270014,"0.079","1.565",NA,"1.480",NA,"1.429"
270017,NA,NA,NA,NA,NA,NA
270023,"0.345","3.686",NA,"2.213",NA,NA
270032,NA,NA,NA,NA,NA,NA
270049,"0.071","1.394","0.014","1.393","0.261","2.793"
270051,"0.015","1.463","0.614","3.715","0.029","2.833"
270057,"0.034","3.387",NA,"2.008",NA,NA
270074,NA,NA,NA,NA,NA,NA
270086,NA,NA,NA,NA,NA,NA
270087,NA,NA,NA,NA,NA,NA
270089,NA,NA,NA,NA,NA,NA
271317,NA,NA,NA,NA,NA,NA
271318,NA,NA,NA,NA,NA,NA
271325,NA,NA,NA,NA,NA,NA
271335,NA,NA,NA,NA,NA,NA
271336,NA,NA,NA,NA,NA,NA
271337,NA,NA,NA,NA,NA,NA
271343,NA,NA,NA,NA,NA,NA
271344,NA,NA,NA,NA,NA,NA
271345,NA,NA,NA,NA,NA,NA
271347,NA,NA,NA,NA,NA,NA
280003,"0.153","0.694","0.386","1.578","0.043","0.857"
280009,"0.020","1.936","0.040","3.927",NA,"2.297"
280013,"0.660","1.186","2.103","4.426","0.385","1.206"
280020,"0.070","1.373","0.394","2.385","0.020","1.939"
280023,NA,"0.936","0.144","2.836",NA,"2.406"
280032,NA,NA,NA,NA,NA,NA
280040,"0.210","1.271","0.843","2.425","0.360","2.181"
280060,"0.371","1.301","0.474","2.142","0.249","1.891"
280061,"0.155","3.053","0.774","5.876",NA,NA
280065,NA,NA,"0.044","4.368",NA,NA
280077,NA,NA,NA,NA,NA,NA
280081,"0.205","2.188","0.228","4.492","0.019","1.833"
280105,NA,NA,NA,NA,NA,NA
280111,NA,NA,NA,NA,NA,NA
280125,NA,"1.842","0.040","3.974",NA,NA
280127,NA,NA,NA,NA,NA,NA
280128,NA,NA,NA,NA,NA,NA
280129,NA,NA,NA,NA,NA,NA
280130,"1.549","6.332",NA,"2.128",NA,NA
280131,NA,NA,NA,NA,NA,NA
280132,NA,"1.909",NA,NA,NA,NA
280134,NA,NA,NA,NA,NA,NA
281304,NA,NA,NA,NA,NA,NA
281307,NA,NA,NA,NA,NA,NA
281319,NA,NA,NA,NA,NA,NA
281321,NA,NA,NA,NA,NA,NA
281322,NA,NA,NA,NA,NA,NA
281323,NA,NA,NA,NA,NA,NA
281329,NA,NA,NA,NA,NA,NA
281331,NA,NA,NA,NA,NA,NA
281332,NA,NA,NA,NA,NA,NA
281339,NA,NA,NA,NA,NA,NA
281342,NA,NA,NA,NA,NA,NA
281345,NA,NA,NA,NA,NA,NA
281346,NA,NA,NA,NA,NA,NA
281350,NA,NA,NA,NA,NA,NA
281354,NA,NA,NA,NA,NA,NA
281355,NA,NA,NA,NA,NA,NA
281359,NA,NA,NA,NA,NA,NA
281361,NA,NA,NA,NA,NA,NA
281362,NA,NA,NA,NA,NA,NA
281363,NA,NA,NA,NA,NA,NA
281364,NA,NA,NA,NA,NA,NA
290001,"0.421","0.958","0.469","1.646","0.379","1.253"
290003,"0.768","1.389","1.381","4.138","1.059","2.559"
290005,"0.014","1.354","0.042","4.162","0.553","5.916"
290007,"0.717","1.423","1.291","3.584","0.854","2.456"
290008,NA,NA,NA,NA,NA,NA
290009,"0.084","1.654","0.015","1.446",NA,"1.045"
290012,NA,"0.970",NA,NA,NA,NA
290019,"0.193","2.067","0.023","2.263","0.024","2.347"
290021,"1.113","2.532","0.837","3.151","0.608","2.289"
290022,"0.990","2.849","0.018","1.727","0.674","3.457"
290032,NA,NA,NA,"2.630",NA,NA
290039,"0.294","1.108","0.126","1.345","0.589","2.409"
290041,"0.807","1.836","0.378","2.288","0.284","2.153"
290045,"0.004","0.409","0.204","2.181","0.016","1.589"
290046,"0.674","1.871","0.012","1.205","0.789","4.050"
290047,"0.326","2.471","0.016","1.562","0.364","3.890"
290049,"0.038","3.711",NA,NA,NA,NA
290053,NA,"0.905","0.334","3.575",NA,"2.704"
290054,"0.101","1.076",NA,"1.018","0.024","2.343"
290057,NA,NA,NA,NA,NA,NA
291307,NA,NA,NA,NA,NA,NA
291313,NA,NA,NA,NA,NA,NA
300001,"0.232","2.479","0.365","2.768","0.022","2.181"
300003,"0.495","1.223","0.700","2.098","0.443","1.665"
300005,NA,NA,"0.038","3.765",NA,NA
300011,"0.178","3.511",NA,"2.346",NA,NA
300012,"0.401","2.429","0.237","2.536","0.020","1.957"
300014,NA,NA,"0.049","4.835",NA,NA
300017,NA,"2.684",NA,NA,NA,NA
300018,"0.109","2.151","0.282","5.567",NA,"2.937"
300019,NA,NA,NA,"2.359",NA,NA
300020,NA,"1.508","0.017","1.662","0.034","3.353"
300023,"0.641","4.863","0.020","2.001",NA,NA
300029,"0.390","2.359","0.039","3.877","0.800","6.076"
300034,"0.128","1.366","1.414","5.781","0.015","1.482"
301300,NA,NA,NA,NA,NA,NA
